Train ID, Starting Point, Destination Point, Length(m), Departure Time, Arrival Time 
0, E, B, 100, 14:43:50, 14:43:54
1, A, E, 100, 14:43:51, 14:43:56
5, A, E, 200, 14:43:53, 14:44:03
6, A, F, 200, 14:43:54, 14:44:06
8, A, E, 100, 14:43:55, 14:44:08
4, F, A, 100, 14:43:51, 14:44:10
11, A, F, 100, 14:43:56, 14:44:12
2, E, B, 100, 14:43:51, 14:44:14
7, F, A, 200, 14:43:54, 14:44:17
13, A, F, 200, 14:43:57, 14:44:20
3, B, E, 100, 14:43:51, 14:44:22
9, E, B, 200, 14:43:55, 14:44:25
10, F, A, 100, 14:43:55, 14:44:27
15, A, F, 100, 14:43:58, 14:44:29
12, B, F, 100, 14:43:56, 14:44:31
14, E, B, 100, 14:43:58, 14:44:33
16, F, B, 100, 14:43:58, 14:44:35
17, E, A, 100, 14:44:33, 14:44:38
18, A, F, 100, 14:44:33, 14:44:40
22, A, E, 200, 14:44:34, 14:44:43
19, B, F, 100, 14:44:33, 14:44:45
25, A, F, 100, 14:44:35, 14:44:47
23, B, F, 100, 14:44:34, 14:44:49
21, E, B, 200, 14:44:34, 14:44:52
20, F, A, 100, 14:44:33, 14:44:58
28, A, F, 100, 14:44:36, 14:45:00
26, B, E, 200, 14:44:35, 14:45:03
27, E, A, 100, 14:44:36, 14:45:05
24, F, A, 200, 14:44:35, 14:45:08
